tick,season,season_tick,total_food,agent_a_energy,agent_b_energy,agent_a_hunger,agent_b_hunger,agent_a_fear,agent_b_fear,agent_a_curiosity,agent_b_curiosity,agent_a_stress,agent_b_stress,agent_a_fatigue,agent_b_fatigue,agent_a_social,agent_b_social,agent_a_food_eaten,agent_b_food_eaten,agent_a_pathways,agent_b_pathways,agent_a_generation,agent_b_generation,distance
12300,Spring,300,2564.2,88.7,147.09,0.0,0.0,0.858,0.508,0.0,0.0,0.0,0.018,0.0,1.0,0.07,0.07,1597,1325,901,709,29,15,41.23
12400,Spring,400,2604.2,99.13,150.0,0.0,0.0,0.855,0.526,0.0,0.0,0.0,0.016,0.0,1.0,0.1,0.1,1615,1357,919,709,29,15,40.0
12500,Summer,0,2632.5,95.5,150.0,0.0,0.0,0.961,0.672,0.0,0.0,0.0,0.014,0.0,1.0,0.132,0.133,1633,1402,937,710,29,15,27.66
12600,Summer,100,2717.7,102.32,108.92,0.24,0.0,0.827,0.537,0.0,0.0,0.0,0.013,0.01,1.0,0.108,0.109,1652,1426,954,711,29,15,38.08
12700,Summer,200,2793.6,134.42,150.0,0.0,0.0,0.373,0.0,0.0,0.87,0.0,0.0,0.91,0.26,0.048,0.006,1701,25,956,366,29,16,71.84
12800,Summer,300,2862.4,135.13,81.42,0.0,0.0,0.686,0.398,0.0,0.0,0.0,0.0,0.82,1.0,0.042,0.027,1733,47,957,374,29,16,50.25
12900,Summer,400,2925.8,83.24,42.42,0.102,0.56,0.857,0.334,0.0,0.0,0.0,0.016,0.0,1.0,0.03,0.024,1750,58,970,376,29,16,44.64
13000,Autumn,0,2971.5,150.0,89.18,0.0,0.0,0.408,0.392,0.0,0.0,0.0,0.04,0.26,1.0,0.033,0.031,1783,73,984,381,29,16,52.33
13100,Autumn,100,2954.7,100.49,106.2,0.28,0.0,0.617,0.508,0.0,0.0,0.0,0.036,0.57,1.0,0.044,0.044,1811,82,984,383,29,16,43.08
13200,Autumn,200,2925.2,150.0,75.8,0.0,0.077,0.519,0.507,0.0,0.0,0.0,0.032,0.88,1.0,0.05,0.049,1860,90,987,384,29,16,42.43
13300,Autumn,300,2877.5,150.0,146.09,0.0,0.0,0.703,0.704,0.0,0.0,0.0,0.029,1.0,0.93,0.104,0.107,1930,122,993,390,29,16,25.08
13400,Autumn,400,2852.4,103.27,134.05,0.0,0.0,1.0,0.882,0.0,0.0,0.0,0.027,0.0,0.19,0.441,0.446,1956,147,1019,407,29,16,10.05
13500,Winter,0,2843.3,77.79,148.2,0.085,0.0,0.993,0.833,0.0,0.0,0.0,0.024,0.0,0.42,0.641,0.642,1973,167,1031,417,29,16,14.14
13600,Winter,100,2770.5,83.18,126.37,0.063,0.0,0.996,0.76,0.0,0.0,0.0,0.022,0.0,0.12,0.433,0.433,1994,174,1043,420,29,16,21.59
13700,Winter,200,2669.2,137.51,150.0,0.0,0.0,0.955,0.655,0.0,0.0,0.0,0.02,0.0,0.67,0.248,0.248,2025,209,1044,448,29,16,30.41
13800,Winter,300,2572.4,147.9,95.47,0.0,0.022,0.923,0.634,0.0,0.0,0.0,0.018,0.0,1.0,0.171,0.171,2063,229,1045,467,29,16,30.02
13900,Winter,400,2502.7,105.44,93.87,0.0,0.0,0.819,0.531,0.0,0.0,0.0,0.016,0.0,1.0,0.134,0.134,2077,253,1049,480,29,16,40.31
14000,Spring,0,2440.2,97.99,86.5,0.0,0.0,0.949,0.619,0.0,0.0,0.0,0.015,0.0,1.0,0.094,0.094,2098,271,1063,486,29,16,31.38
14100,Spring,100,2492.6,150.0,121.25,0.0,0.0,0.462,0.446,0.0,0.0,0.0,0.013,0.34,1.0,0.093,0.093,2135,292,1076,491,29,16,45.65
14200,Spring,200,2551.5,106.96,83.71,0.0,0.0,0.715,0.365,0.0,0.0,0.0,0.012,0.84,1.0,0.061,0.06,2164,300,1076,492,29,16,54.56
14300,Spring,300,2603.7,150.0,70.05,0.0,0.257,0.517,0.478,0.0,0.0,0.008,0.014,0.85,1.0,0.037,0.037,2197,309,1076,495,29,16,43.14
14400,Spring,400,2646.9,142.99,54.4,0.0,0.289,0.483,0.431,0.0,0.0,0.007,0.048,0.9,1.0,0.04,0.04,2233,319,1076,498,29,16,45.25
14500,Summer,0,2695.1,87.87,148.96,0.182,0.0,0.316,0.011,0.0,0.874,0.006,0.0,0.94,0.23,0.017,0.005,2251,16,1079,254,29,17,71.45
14600,Summer,100,2784.6,105.21,67.36,0.0,0.189,0.322,0.0,0.0,0.0,0.006,0.0,1.0,1.0,0.022,0.018,2272,43,1080,256,29,17,72.8
