tick,agent_a_energy,agent_b_energy,agent_a_hunger,agent_b_hunger,agent_a_fear,agent_b_fear,agent_a_food_eaten,agent_b_food_eaten,agent_a_pathways,agent_b_pathways,distance
19100,73.0,8.0,0.0,0.465,0.292,0.308,2534,2537,380,382,60.11
19200,23.0,16.5,0.275,0.45,0.314,0.316,2546,2543,379,382,59.41
19300,29.0,22.5,0.385,0.42,0.293,0.288,2555,2556,380,382,61.77
19400,88.0,23.5,0.105,0.61,0.225,0.233,2569,2563,378,382,66.47
19500,16.0,72.0,0.385,0.175,0.172,0.179,2586,2578,379,383,69.81
19600,40.5,96.5,0.11,0.0,0.215,0.198,2601,2590,380,383,69.43
19700,18.5,86.5,0.31,0.12,0.245,0.262,2617,2599,380,383,63.25
19800,101.0,77.5,0.0,0.0,0.303,0.307,2638,2607,386,383,60.21
19900,9.0,51.5,0.455,0.0,0.304,0.288,2646,2629,385,385,59.06
20000,18.5,29.5,0.44,0.24,0.302,0.286,2660,2644,385,386,59.2
20100,94.5,39.5,0.0,0.12,0.175,0.158,2685,2655,386,385,70.01
20200,4.5,9.5,0.48,0.52,0.256,0.26,2695,2679,385,387,62.43
20300,10.5,6.0,0.54,0.555,0.312,0.295,2704,2693,386,388,59.2
20400,11.5,104.0,0.41,0.0,0.165,0.173,2717,2705,386,387,70.29
20500,17.5,20.0,0.34,0.395,0.155,0.164,2726,2716,386,386,69.53
20600,19.5,86.5,0.51,0.12,0.15,0.158,2733,2732,386,386,71.45
20700,21.5,80.5,0.31,0.0,0.151,0.168,2744,2740,386,385,70.43
20800,43.5,36.5,0.16,0.26,0.373,0.377,2765,2758,387,385,51.48
20900,17.5,34.5,0.4,0.17,0.444,0.446,2779,2773,387,387,46.23
21000,23.5,28.5,0.27,0.25,0.3,0.309,2803,2799,387,387,58.01
21100,39.5,32.5,0.14,0.22,0.249,0.248,2814,2814,388,388,63.7
21200,60.0,34.5,0.295,0.17,0.205,0.203,2828,2834,388,393,66.22
21300,42.5,18.5,0.12,0.32,0.352,0.349,2837,2844,388,395,53.82
21400,40.5,98.5,0.09,0.0,0.242,0.233,2857,2861,389,397,63.64
21500,16.5,82.5,0.37,0.01,0.288,0.304,2872,2873,389,397,58.41
21600,21.0,14.5,0.355,0.36,0.239,0.223,2885,2895,389,397,65.3
21700,33.0,25.0,0.205,0.365,0.307,0.298,2901,2904,390,398,59.67
21800,35.0,35.0,0.155,0.215,0.368,0.373,2929,2924,390,398,52.84
21900,33.0,73.0,0.175,0.0,0.468,0.457,2942,2941,390,400,45.18
22000,17.0,61.0,0.355,0.075,0.28,0.276,2957,2952,390,400,62.27
22100,29.0,73.0,0.225,0.0,0.47,0.453,2972,2967,390,401,47.8
22200,95.5,78.0,0.03,0.0,0.108,0.108,2981,2976,389,402,74.28
22300,9.5,100.0,0.52,0.0,0.266,0.0,2993,2989,391,402,71.59
22400,64.0,8.0,0.0,0.475,0.153,0.146,3012,2998,393,402,73.11
22500,8.0,34.0,0.485,0.175,0.307,0.324,3027,3014,393,404,58.8
22600,38.0,36.0,0.145,0.135,0.408,0.404,3057,3034,393,406,51.11
22700,22.0,34.0,0.295,0.275,0.516,0.525,3072,3054,397,406,40.31
22800,36.0,64.0,0.175,0.0,0.517,0.5,3094,3068,399,411,41.01
22900,16.0,122.0,0.475,0.0,0.583,0.583,3111,3082,399,419,35.38
23000,10.0,26.0,0.475,0.315,0.292,0.292,3126,3094,399,420,61.52
23100,2.0,24.0,0.575,0.255,0.458,0.442,3147,3113,399,422,45.97
23200,26.0,72.0,0.245,0.0,0.42,0.411,3161,3126,398,425,50.22
23300,61.0,24.0,0.195,0.255,0.317,0.308,3173,3141,399,426,59.4
23400,45.0,46.5,0.405,0.13,0.275,0.292,3180,3152,399,426,58.69
23500,13.0,50.5,0.515,0.27,0.362,0.346,3205,3171,399,425,54.59
23600,97.0,2.5,0.0,0.48,0.147,0.164,3219,3183,402,425,71.06
23700,84.0,100.0,0.0,0.0,0.208,0.0,3232,3194,402,425,68.59
23800,78.5,38.0,0.0,0.225,0.271,0.278,3242,3210,402,425,59.91
23900,87.0,100.0,0.0,0.0,0.212,0.0,3251,3221,403,427,77.1
24000,19.0,76.5,0.305,0.01,0.168,0.17,3262,3228,403,427,70.29
24100,25.0,8.5,0.325,0.46,0.304,0.321,3288,3239,404,429,56.22
24200,39.0,58.5,0.255,0.0,0.304,0.299,3304,3253,409,430,59.93
24300,22.0,6.5,0.285,0.55,0.294,0.31,3316,3267,411,430,59.91
24400,20.0,44.5,0.335,0.06,0.366,0.368,3335,3282,411,430,52.2
24500,54.0,18.5,0.0,0.37,0.208,0.21,3354,3298,412,430,65.6
24600,22.0,30.5,0.275,0.27,0.234,0.236,3367,3314,414,432,66.22
24700,35.0,22.5,0.345,0.32,0.2,0.183,3374,3340,412,432,67.88
24800,77.0,8.5,0.0,0.59,0.347,0.348,3388,3357,412,435,53.91
24900,21.0,14.5,0.315,0.46,0.313,0.312,3403,3371,412,437,57.63
25000,95.0,16.5,0.0,0.34,0.209,0.215,3423,3383,412,438,66.29
